Time,yoc_temp,yoc_SP,yoc_p1,yoc_p2,yoc_p3,yoc_p4,yoc_p5,yoc_bl1,yoc_bl2,yoc_lights,yoc_stereo,yoc_h1,yoc_h2,yoc_filter,yoc_bl3,yoc_bl4,yoc_bl5,yoc_bl6,yoc_h_adc,yoc_bl7,yoc_econ,yoc_i_adc,yoc_all_on,yoc_bl8,yoc_bl9,yoc_bl10
2020-09-29 17:56:53,57,100,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,60,0,0,445,0,0,0,0
2020-09-29 17:56:54,57,100,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,60,0,0,309,0,0,0,0
2020-09-29 17:56:54,57,100,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,60,0,0,122,0,0,0,0
2020-09-29 17:56:59,57,100,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,60,0,0,132,0,0,0,0
2020-09-29 17:57:04,57,100,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,59,0,0,139,0,0,0,0
2020-09-29 17:57:05,57,100,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,59,0,0,3301,0,0,0,0
2020-09-29 17:57:05,57,100,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,59,0,0,4188,0,0,0,0
2020-09-29 17:57:05,57,100,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,59,0,0,1169,0,0,0,0
2020-09-29 17:57:05,57,100,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,59,0,0,996,0,0,0,0
2020-09-29 17:57:08,57,100,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,59,0,0,1128,0,0,0,0
2020-09-29 17:57:08,57,100,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,59,0,0,625,0,0,0,0
2020-09-29 17:57:09,57,100,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,59,0,0,224,0,0,0,0
2020-09-29 17:57:23,57,100,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,58,0,0,139,0,0,0,0
2020-09-29 17:57:23,57,100,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,58,0,0,2244,0,0,0,0
2020-09-29 17:57:23,57,100,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,58,0,0,2380,0,0,0,0
2020-09-29 17:57:33,57,100,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,57,0,0,2390,0,0,0,0
2020-09-29 18:02:23,58,100,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,55,0,0,2380,0,0,0,0
2020-09-29 18:07:13,59,100,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,56,0,0,2352,0,0,0,0
2020-09-29 18:12:03,59,100,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,57,0,0,2383,0,0,0,0
